,HHVEHCNT,DRVRCNT,HHSIZE
1,2,2,6
2,1,1,1
3,3,4,5
4,2,2,2
5,3,3,3
6,1,1,1
7,3,2,2
8,3,2,4
9,2,2,3
10,2,2,3
11,2,1,1
12,1,1,4
13,2,2,4
14,2,2,5
15,1,1,1
16,2,2,4
17,1,1,1
18,2,2,8
19,2,2,2
20,2,2,5
21,2,2,2
22,2,1,1
23,1,2,3
24,2,2,3
25,0,0,1
26,4,3,3
27,2,1,1
28,1,2,2
29,3,2,4
30,3,2,3
31,0,0,1
32,2,2,2
33,0,0,1
34,1,1,1
35,3,2,2
36,4,4,4
37,4,4,4
38,1,1,4
39,1,1,4
40,0,0,2
41,2,2,2
42,1,2,2
43,1,1,1
44,1,2,2
45,2,2,2
46,1,1,1
47,0,0,2
48,2,2,2
49,1,2,5
50,1,1,1
51,1,1,1
52,2,1,1
53,1,2,2
54,1,2,2
55,1,1,1
56,0,1,1
57,3,2,4
58,1,2,5
59,2,2,2
60,1,1,1
61,1,2,3
62,3,2,3
63,2,2,2
64,2,2,2
65,2,2,2
66,1,2,2
67,1,1,1
68,1,2,2
69,2,2,2
70,2,2,2
71,3,2,3
72,1,1,1
73,1,1,1
74,2,2,3
75,1,1,1
76,3,2,3
77,1,1,1
78,2,3,7
79,2,2,2
80,1,1,1
81,3,3,3
82,2,2,3
83,2,1,1
84,1,2,2
85,1,1,2
86,2,2,2
87,2,2,2
88,2,2,5
89,2,1,2
90,1,1,1
91,1,1,1
92,1,3,3
93,3,1,1
94,3,2,2
95,3,4,6
96,2,2,2
97,1,1,3
98,2,2,2
99,3,3,4
100,2,2,3
101,1,1,1
102,2,2,3
103,2,2,2
104,3,3,4
105,1,2,2
106,3,2,2
107,2,2,2
108,2,2,2
109,1,2,3
110,2,2,4
111,2,2,2
112,2,2,4
113,1,2,2
114,2,2,2
115,3,2,3
116,1,1,1
117,3,3,4
118,2,2,2
119,2,2,3
120,3,2,2
121,2,2,2
122,2,2,5
123,2,2,4
124,2,2,4
125,3,2,2
126,2,2,3
127,3,2,2
128,0,0,1
129,2,2,2
130,2,1,1
131,4,2,4
132,1,1,2
133,2,2,2
134,2,1,1
135,2,2,2
136,3,1,2
137,2,2,5
138,2,2,3
139,3,2,2
140,0,1,3
141,3,2,2
142,2,3,4
143,2,2,5
144,2,2,2
145,4,2,2
